Road,Name,startLRP,startOffset,startChainage,endLRP,,endOffset,endChainage,(Km),HeavyTruck,MediumTruck,SmallTruck,LargeBus,MediumBus,MicroBus,Utility,Car,AutoRickshaw,MotorCycle,Bi-Cycle,CycleRickshaw,Cart,TotalMotorized,TotalNonMotorized,TotalAADT
N2-8,Itakhola-Morgal(Int.withZ2042),LRP042,1831,43.097,LRP055,3214,280,54.606,11.509,201,2039,974,1779,222,1030,242,859,2158,387,52,64,0,9891,116,10007
N2-9,Morgal(Int.withZ2042)-Narayanpur(Int.withZ2032),LRP055,280,54.606,LRP064,3303,621,63.969,9.363,436,1971,896,1936,87,1104,266,808,3037,610,153,489,0,11151,642,11793
N2-10,Narayanpur(Int.withZ2032)-Bhairab(Int.withR360),LRP064,621,63.969,LRP069,3303,2478,70.576,6.607,436,1971,896,1936,87,1104,266,808,3037,610,153,489,0,11151,642,11793
N2-11,Bhairab(Int.withR360)-Ashuganj(Int.withZ2031),LRP069,2478,70.576,LRP069,3303,5435,73.533,2.957,436,1971,896,1936,87,1104,266,808,3037,610,153,489,0,11151,642,11793
N2-12,Ashuganj(Int.withZ2031)-Kathirhat Sarail(Int.withN102),LRP069,5435,73.533,LRP086,2875,710,85.823,12.29,329,1465,1081,1000,217,598,118,534,3351,690,389,843,0,9383,1232,10615
N2-13,Kathirhat Sarail(Int.withN102)-Sarail(Int.withR220),LRP086,710,85.823,LRP086,3004,1300,86.413,0.59,205,2203,596,1632,294,1402,162,398,3816,331,164,443,0,11039,607,11646
N2-14,Sarail(Int.withR220)-Jagadishpur(Int.withN204),LRP086,1300,86.413,LRP117,3004,378,116.294,29.881,205,2203,596,1632,294,1402,162,398,3816,331,164,443,0,11039,607,11646
N2-15,Jagadishpur(Int.withN204)-Shaistaganj(Int.withN204),LRP117,378,116.294,LRP142,3046,278,141.309,25.015,270,1818,958,1045,179,1178,196,764,1170,493,53,79,0,8071,132,8203
N2-16,Shaistaganj(Int.withN204)-Mirpur(Int.withN207),LRP142,278,141.309,LRP146,5090,920,145.961,4.652,206,4176,708,1765,178,1494,298,1159,1975,721,170,415,0,12680,585,13265
N2-17,Mirpur(Int.withN207)-Auskandi(Int.withR240),LRP146,920,145.961,LRP182,1860,527,181.657,35.696,338,1131,391,888,54,964,296,1058,1784,325,68,162,33,7229,263,7492
N2-18,Auskandi(Int.withR240)-Auskandi(Int.withR241),LRP182,527,181.657,LRP186,1860,600,185.77,4.113,338,1131,391,888,54,964,296,1058,1784,325,68,162,33,7229,263,7492
N2-19,Auskandi(Int.withR241)-Sherpur(Int.withN207),LRP186,600,185.77,LRP191,1494,672,190.892,5.122,321,669,504,961,36,911,183,621,1932,386,197,353,6,6524,556,7080
N2-20,Sherpur(Int.withN207)-Tajpur(Int.withZ2022),LRP191,672,190.892,LRP205,1494,750,205.083,14.191,321,669,504,961,36,911,183,621,1932,386,197,353,6,6524,556,7080
N2-21,Tajpur(Int.withZ2022)-Rashidpur(Int.withZ2016),LRP205,750,205.083,LRP216,1816,414,215.832,10.749,198,1089,529,1163,412,1183,455,991,3948,846,329,546,0,10814,875,11689
N2-22,Rashidpur(Int.withZ2016)-Int.withR283,LRP216,414,215.832,LRP224,1816,571,224.044,8.212,198,1089,529,1163,412,1183,455,991,3948,846,329,546,0,10814,875,11689
