,id,drive_time,exp,sce
567,Truck4887,215,2,2
568,Truck4888,215,2,2
569,Truck4889,215,2,2
570,Truck4890,215,2,2
571,Truck4891,215,2,2
572,Truck4892,215,2,2
573,Truck4893,215,2,2
574,Truck4894,215,2,2
575,Truck4895,215,2,2
576,Truck4896,215,2,2
577,Truck4897,215,2,2
578,Truck4898,215,2,2
579,Truck4899,215,2,2
580,Truck4900,215,2,2
581,Truck4901,215,2,2
582,Truck4902,215,2,2
583,Truck4903,215,2,2
584,Truck4904,215,2,2
585,Truck4905,215,2,2
586,Truck4906,215,2,2
587,Truck4907,215,2,2
588,Truck4908,215,2,2
589,Truck4909,215,2,2
590,Truck4910,215,2,2
591,Truck4911,215,2,2
592,Truck4912,215,2,2
593,Truck4913,215,2,2
594,Truck4914,215,2,2
595,Truck4915,215,2,2
596,Truck4916,215,2,2
597,Truck4917,215,2,2
598,Truck4918,215,2,2
599,Truck4919,215,2,2
600,Truck4920,215,2,2
601,Truck4921,215,2,2
602,Truck4922,215,2,2
603,Truck4923,215,2,2
604,Truck4924,215,2,2
605,Truck4925,215,2,2
606,Truck4926,215,2,2
607,Truck4927,215,2,2
608,Truck4928,215,2,2
609,Truck4929,215,2,2
610,Truck4930,215,2,2
611,Truck4931,215,2,2
612,Truck4932,215,2,2
613,Truck4933,215,2,2
614,Truck4934,215,2,2
615,Truck4935,215,2,2
616,Truck4936,215,2,2
617,Truck4937,215,2,2
618,Truck4938,215,2,2
619,Truck4939,215,2,2
620,Truck4940,215,2,2
621,Truck4941,215,2,2
622,Truck4942,215,2,2
623,Truck4943,215,2,2
624,Truck4944,215,2,2
625,Truck4945,215,2,2
626,Truck4946,215,2,2
627,Truck4947,215,2,2
628,Truck4948,215,2,2
629,Truck4949,215,2,2
630,Truck4950,215,2,2
631,Truck4951,215,2,2
632,Truck4952,215,2,2
633,Truck4953,215,2,2
634,Truck4954,215,2,2
635,Truck4955,215,2,2
636,Truck4956,215,2,2
637,Truck4957,215,2,2
638,Truck4958,215,2,2
639,Truck4959,215,2,2
640,Truck4960,215,2,2
641,Truck4961,215,2,2
642,Truck4962,215,2,2
643,Truck4963,215,2,2
644,Truck4964,215,2,2
645,Truck4965,215,2,2
646,Truck4966,215,2,2
647,Truck4967,215,2,2
648,Truck4968,215,2,2
649,Truck4969,215,2,2
650,Truck4970,215,2,2
651,Truck4971,215,2,2
652,Truck4972,215,2,2
653,Truck4973,215,2,2
654,Truck4974,215,2,2
655,Truck4975,215,2,2
656,Truck4976,215,2,2
657,Truck4977,215,2,2
658,Truck4978,215,2,2
659,Truck4979,215,2,2
660,Truck4980,215,2,2
661,Truck4981,215,2,2
662,Truck4982,215,2,2
663,Truck4983,215,2,2
664,Truck4984,215,2,2
665,Truck4985,215,2,2
666,Truck4986,215,2,2
667,Truck4987,215,2,2
668,Truck4988,215,2,2
669,Truck4989,215,2,2
670,Truck4990,215,2,2
671,Truck4991,215,2,2
672,Truck4992,215,2,2
673,Truck4993,215,2,2
674,Truck4994,215,2,2
675,Truck4995,215,2,2
676,Truck4996,215,2,2
677,Truck4997,215,2,2
678,Truck4998,215,2,2
679,Truck4999,215,2,2
680,Truck5000,215,2,2
681,Truck5001,215,2,2
682,Truck5002,215,2,2
683,Truck5003,215,2,2
684,Truck5004,215,2,2
685,Truck5005,215,2,2
686,Truck5006,215,2,2
687,Truck5007,215,2,2
688,Truck5008,215,2,2
689,Truck5009,215,2,2
690,Truck5010,215,2,2
691,Truck5011,215,2,2
692,Truck5012,215,2,2
693,Truck5013,215,2,2
694,Truck5014,215,2,2
695,Truck5015,215,2,2
696,Truck5016,215,2,2
697,Truck5017,215,2,2
698,Truck5018,215,2,2
699,Truck5019,215,2,2
700,Truck5020,215,2,2
701,Truck5021,215,2,2
702,Truck5022,215,2,2
703,Truck5023,215,2,2
704,Truck5024,215,2,2
705,Truck5025,215,2,2
706,Truck5026,215,2,2
707,Truck5027,215,2,2
708,Truck5028,215,2,2
709,Truck5029,215,2,2
710,Truck5030,215,2,2
711,Truck5031,215,2,2
712,Truck5032,215,2,2
713,Truck5033,215,2,2
714,Truck5034,215,2,2
715,Truck5035,215,2,2
716,Truck5036,215,2,2
717,Truck5037,215,2,2
718,Truck5038,215,2,2
719,Truck5039,215,2,2
720,Truck5040,215,2,2
721,Truck5041,215,2,2
722,Truck5042,215,2,2
723,Truck5043,215,2,2
724,Truck5044,215,2,2
725,Truck5045,215,2,2
726,Truck5046,215,2,2
727,Truck5047,215,2,2
728,Truck5048,215,2,2
729,Truck5049,215,2,2
730,Truck5050,215,2,2
731,Truck5051,215,2,2
732,Truck5052,215,2,2
733,Truck5053,215,2,2
734,Truck5054,215,2,2
735,Truck5055,215,2,2
736,Truck5056,215,2,2
737,Truck5057,215,2,2
738,Truck5058,215,2,2
739,Truck5059,215,2,2
740,Truck5060,215,2,2
741,Truck5061,215,2,2
742,Truck5062,215,2,2
743,Truck5063,215,2,2
744,Truck5064,215,2,2
745,Truck5065,215,2,2
746,Truck5066,215,2,2
747,Truck5067,215,2,2
748,Truck5068,215,2,2
749,Truck5069,215,2,2
750,Truck5070,215,2,2
751,Truck5071,215,2,2
752,Truck5072,215,2,2
753,Truck5073,215,2,2
754,Truck5074,215,2,2
755,Truck5075,215,2,2
756,Truck5076,215,2,2
757,Truck5077,215,2,2
758,Truck5078,215,2,2
759,Truck5079,215,2,2
760,Truck5080,215,2,2
761,Truck5081,215,2,2
762,Truck5082,215,2,2
763,Truck5083,215,2,2
764,Truck5084,215,2,2
765,Truck5085,215,2,2
766,Truck5086,215,2,2
767,Truck5087,215,2,2
768,Truck5088,215,2,2
769,Truck5089,215,2,2
770,Truck5090,215,2,2
771,Truck5091,215,2,2
772,Truck5092,215,2,2
773,Truck5093,215,2,2
774,Truck5094,215,2,2
775,Truck5095,215,2,2
776,Truck5096,215,2,2
777,Truck5097,215,2,2
778,Truck5098,215,2,2
779,Truck5099,215,2,2
780,Truck5100,215,2,2
781,Truck5101,215,2,2
782,Truck5102,215,2,2
783,Truck5103,215,2,2
784,Truck5104,215,2,2
785,Truck5105,215,2,2
786,Truck5106,215,2,2
787,Truck5107,215,2,2
788,Truck5108,215,2,2
789,Truck5109,215,2,2
790,Truck5110,215,2,2
791,Truck5111,215,2,2
792,Truck5112,215,2,2
793,Truck5113,215,2,2
794,Truck5114,215,2,2
795,Truck5115,215,2,2
796,Truck5116,215,2,2
797,Truck5117,215,2,2
798,Truck5118,215,2,2
799,Truck5119,215,2,2
800,Truck5120,215,2,2
801,Truck5121,215,2,2
802,Truck5122,215,2,2
803,Truck5123,215,2,2
804,Truck5124,215,2,2
805,Truck5125,215,2,2
806,Truck5126,215,2,2
807,Truck5127,215,2,2
808,Truck5128,215,2,2
809,Truck5129,215,2,2
810,Truck5130,215,2,2
811,Truck5131,215,2,2
812,Truck5132,215,2,2
813,Truck5133,215,2,2
814,Truck5134,215,2,2
815,Truck5135,215,2,2
816,Truck5136,215,2,2
817,Truck5137,215,2,2
818,Truck5138,215,2,2
819,Truck5139,215,2,2
820,Truck5140,215,2,2
821,Truck5141,215,2,2
822,Truck5142,215,2,2
823,Truck5143,215,2,2
824,Truck5144,215,2,2
825,Truck5145,215,2,2
826,Truck5146,215,2,2
827,Truck5147,215,2,2
828,Truck5148,215,2,2
829,Truck5149,215,2,2
830,Truck5150,215,2,2
831,Truck5151,215,2,2
832,Truck5152,215,2,2
833,Truck5153,215,2,2
834,Truck5154,215,2,2
835,Truck5155,215,2,2
836,Truck5156,215,2,2
837,Truck5157,215,2,2
838,Truck5158,215,2,2
839,Truck5159,215,2,2
840,Truck5160,215,2,2
841,Truck5161,215,2,2
842,Truck5162,215,2,2
843,Truck5163,215,2,2
844,Truck5164,215,2,2
845,Truck5165,215,2,2
846,Truck5166,215,2,2
847,Truck5167,215,2,2
848,Truck5168,215,2,2
849,Truck5169,215,2,2
850,Truck5170,215,2,2
851,Truck5171,215,2,2
852,Truck5172,215,2,2
853,Truck5173,215,2,2
854,Truck5174,215,2,2
855,Truck5175,215,2,2
856,Truck5176,215,2,2
857,Truck5177,215,2,2
858,Truck5178,215,2,2
859,Truck5179,215,2,2
860,Truck5180,215,2,2
861,Truck5181,215,2,2
862,Truck5182,215,2,2
863,Truck5183,215,2,2
864,Truck5184,215,2,2
865,Truck5185,215,2,2
866,Truck5186,215,2,2
867,Truck5187,215,2,2
868,Truck5188,215,2,2
869,Truck5189,215,2,2
870,Truck5190,215,2,2
871,Truck5191,215,2,2
872,Truck5192,215,2,2
873,Truck5193,215,2,2
874,Truck5194,215,2,2
875,Truck5195,215,2,2
876,Truck5196,215,2,2
877,Truck5197,215,2,2
878,Truck5198,215,2,2
879,Truck5199,215,2,2
880,Truck5200,215,2,2
881,Truck5201,215,2,2
882,Truck5202,215,2,2
883,Truck5203,215,2,2
884,Truck5204,215,2,2
885,Truck5205,215,2,2
886,Truck5206,215,2,2
887,Truck5207,215,2,2
888,Truck5208,215,2,2
889,Truck5209,215,2,2
890,Truck5210,215,2,2
891,Truck5211,215,2,2
892,Truck5212,215,2,2
893,Truck5213,215,2,2
894,Truck5214,215,2,2
895,Truck5215,215,2,2
896,Truck5216,215,2,2
897,Truck5217,215,2,2
898,Truck5218,215,2,2
899,Truck5219,215,2,2
900,Truck5220,215,2,2
901,Truck5221,215,2,2
902,Truck5222,215,2,2
903,Truck5223,215,2,2
904,Truck5224,215,2,2
905,Truck5225,215,2,2
906,Truck5226,215,2,2
907,Truck5227,215,2,2
908,Truck5228,215,2,2
909,Truck5229,215,2,2
910,Truck5230,215,2,2
911,Truck5231,215,2,2
912,Truck5232,215,2,2
913,Truck5233,215,2,2
914,Truck5234,215,2,2
915,Truck5235,215,2,2
916,Truck5236,215,2,2
917,Truck5237,215,2,2
918,Truck5238,215,2,2
919,Truck5239,215,2,2
920,Truck5240,215,2,2
921,Truck5241,215,2,2
922,Truck5242,215,2,2
923,Truck5243,215,2,2
924,Truck5244,215,2,2
925,Truck5245,215,2,2
926,Truck5246,215,2,2
927,Truck5247,215,2,2
928,Truck5248,215,2,2
929,Truck5249,215,2,2
930,Truck5250,215,2,2
931,Truck5251,215,2,2
932,Truck5252,215,2,2
933,Truck5253,215,2,2
934,Truck5254,215,2,2
935,Truck5255,215,2,2
936,Truck5256,215,2,2
937,Truck5257,215,2,2
938,Truck5258,215,2,2
939,Truck5259,215,2,2
940,Truck5260,215,2,2
941,Truck5261,215,2,2
942,Truck5262,215,2,2
943,Truck5263,215,2,2
944,Truck5264,215,2,2
945,Truck5265,215,2,2
946,Truck5266,215,2,2
947,Truck5267,215,2,2
948,Truck5268,215,2,2
949,Truck5269,215,2,2
950,Truck5270,215,2,2
951,Truck5271,215,2,2
952,Truck5272,215,2,2
953,Truck5273,215,2,2
954,Truck5274,215,2,2
955,Truck5275,215,2,2
956,Truck5276,215,2,2
957,Truck5277,215,2,2
958,Truck5278,215,2,2
959,Truck5279,215,2,2
960,Truck5280,215,2,2
961,Truck5281,215,2,2
962,Truck5282,215,2,2
963,Truck5283,215,2,2
964,Truck5284,215,2,2
965,Truck5285,215,2,2
966,Truck5286,215,2,2
967,Truck5287,215,2,2
968,Truck5288,215,2,2
969,Truck5289,215,2,2
970,Truck5290,215,2,2
971,Truck5291,215,2,2
972,Truck5292,215,2,2
973,Truck5293,215,2,2
974,Truck5294,215,2,2
975,Truck5295,215,2,2
976,Truck5296,215,2,2
977,Truck5297,215,2,2
978,Truck5298,215,2,2
979,Truck5299,215,2,2
980,Truck5300,215,2,2
981,Truck5301,215,2,2
982,Truck5302,215,2,2
983,Truck5303,215,2,2
984,Truck5304,215,2,2
985,Truck5305,215,2,2
986,Truck5306,215,2,2
987,Truck5307,215,2,2
988,Truck5308,215,2,2
989,Truck5309,215,2,2
990,Truck5310,215,2,2
991,Truck5311,215,2,2
992,Truck5312,215,2,2
993,Truck5313,215,2,2
994,Truck5314,215,2,2
